pl_name,tic_id,pl_orbper,pl_tranmid,pl_trandur
Kepler-6 b,TIC 27916356,3.234699312,2454954.4865705,3.60111
Kepler-6 b,TIC 27916356,3.2346996,2454954.486528,
Kepler-6 b,TIC 27916356,3.234699312,2454954.4865705,3.60111
Kepler-6 b,TIC 27916356,3.23469439654,2459421.606981,3.5710893
Kepler-6 b,TIC 27916356,3.23469918,2454954.486657,3.7108
Kepler-6 b,TIC 27916356,3.2346994,2455003.006282,
Kepler-6 b,TIC 27916356,3.234723,2454954.48636,
Kepler-6 b,TIC 27916356,3.23469955,2454954.485799,3.6016
Kepler-6 b,TIC 27916356,3.234699282,2454954.4865708,
Kepler-6 b,TIC 27916356,,,
Kepler-6 b,TIC 27916356,3.234699282,2454954.4865708,3.59385
Kepler-6 b,TIC 27916356,3.234699312,2454954.4865705,3.60111
Kepler-6 b,TIC 27916356,3.234699,2455006.24253,
Kepler-6 b,TIC 27916356,3.234699312,,
Kepler-6 b,TIC 27916356,3.2346993953,2454954.48659,
Kepler-6 b,TIC 27916356,3.2346993,2455643.477519,
Kepler-6 b,TIC 27916356,3.234702,2454954.485805,
Kepler-6 b,TIC 27916356,3.234699312,2454954.4865705,3.60111
Kepler-491 b,TIC 158388163,4.225384512,2454970.5606743,2.81829
Kepler-491 b,TIC 158388163,4.2253841112,2454970.56079,
Kepler-491 b,TIC 158388163,4.225384512,2454970.5606743,2.81829
Kepler-491 b,TIC 158388163,4.225384543,2454970.5606891,
Kepler-491 b,TIC 158388163,4.225384512,2454970.5606743,2.81829
Kepler-491 b,TIC 158388163,,,
Kepler-491 b,TIC 158388163,4.225384512,,
Kepler-491 b,TIC 158388163,4.225384512,2454970.5606743,2.81829
Kepler-491 b,TIC 158388163,4.2253846,2454970.559926,2.8116
Kepler-491 b,TIC 158388163,4.225384543,2454970.5606891,2.82038
Kepler-491 b,TIC 158388163,4.22534982536,2459394.539688,2.7695297
Kepler-257 b,TIC 273132699,2.382652169,2455003.66641,1.9085
Kepler-257 b,TIC 273132699,2.382652873,2455003.66626,
Kepler-257 b,TIC 273132699,2.3826432093,2455003.66943,
Kepler-257 b,TIC 273132699,2.382652169,2455003.66641,1.9085
Kepler-257 b,TIC 273132699,2.38265264,2454965.543615,2.0226
Kepler-257 b,TIC 273132699,2.382667,2455003.6633,1.812
Kepler-257 b,TIC 273132699,2.382666,2455003.6632,1.8525
Kepler-257 b,TIC 273132699,2.382652169,2455003.66641,1.9085
Kepler-257 b,TIC 273132699,2.382652169,2455003.66641,1.9085
Kepler-257 b,TIC 273132699,2.382652169,,
Kepler-257 b,TIC 273132699,2.382652873,2455003.66626,1.8888
Kepler-216 b,TIC 270698499,7.69363627,2455009.5035,
Kepler-216 b,TIC 270698499,7.69364042,2455009.503,5.0934
Kepler-216 b,TIC 270698499,7.69363627,2455009.5035,5.0324
Kepler-216 b,TIC 270698499,7.693641,2455009.50106,5.05
Kepler-216 b,TIC 270698499,7.69364042,2455009.503,5.0934
Kepler-216 b,TIC 270698499,7.69364042,,
Kepler-216 b,TIC 270698499,7.69362068,2454971.03565,5.204
Kepler-216 b,TIC 270698499,7.693491,2455009.5086,4.9743
Kepler-216 b,TIC 270698499,,,
Kepler-216 b,TIC 270698499,7.69364042,2455009.503,5.0934
Kepler-216 b,TIC 270698499,7.69364042,2455009.503,5.0934
Kepler-216 b,TIC 270698499,7.6935719644,2455009.50803,
Kepler-32 c,TIC 273590427,8.752097,2455003.6367,
Kepler-32 c,TIC 273590427,8.75210645,2455003.63495,2.4246
Kepler-32 c,TIC 273590427,8.75210645,2455003.63495,2.4246
Kepler-32 c,TIC 273590427,8.75208025,,
Kepler-32 c,TIC 273590427,8.75209691,2455003.63671,2.3742
Kepler-32 c,TIC 273590427,8.75210645,2455003.63495,2.4246
Kepler-32 c,TIC 273590427,8.75208271,2454968.628421,2.6857
Kepler-32 c,TIC 273590427,8.752167,2455003.6327,2.4118
Kepler-32 c,TIC 273590427,,,
Kepler-32 c,TIC 273590427,,,
Kepler-32 c,TIC 273590427,8.75245953,,
Kepler-32 c,TIC 273590427,8.75210645,2455003.63495,2.4246
Kepler-32 c,TIC 273590427,8.752,,
Kepler-32 c,TIC 273590427,8.75209691,2455003.63671,
Kepler-32 c,TIC 273590427,8.752,2454837.351,
Kepler-32 c,TIC 273590427,8.7522,2454977.378,2.328
Kepler-32 c,TIC 273590427,8.752097,2455003.6367,
Kepler-32 c,TIC 273590427,8.7522,,
Kepler-259 c,TIC 158664318,36.9250409,2455007.22246,4.9381
Kepler-259 c,TIC 158664318,36.9249531,2455007.22452,4.7139
Kepler-259 c,TIC 158664318,36.92564,2455007.2181,4.9031
Kepler-259 c,TIC 158664318,36.924931,2455007.22336,4.723
Kepler-259 c,TIC 158664318,36.9249531,2455007.22452,4.7139
Kepler-259 c,TIC 158664318,36.9249531,,
Kepler-259 c,TIC 158664318,36.9249531,2455007.22452,4.7139
Kepler-259 c,TIC 158664318,,,
Kepler-259 c,TIC 158664318,36.9250409,2455007.22246,
Kepler-259 c,TIC 158664318,36.9251496583,2455007.21831,
Kepler-259 c,TIC 158664318,36.92515874,2454970.298102,4.5807
Kepler-259 c,TIC 158664318,36.9249531,2455007.22452,4.7139
Kepler-148 c,TIC 159171904,4.180049552,2455006.718926,2.4696
Kepler-148 c,TIC 159171904,4.180043,2455006.71928,2.482
Kepler-148 c,TIC 159171904,4.180049552,2455006.718926,2.4696
Kepler-148 c,TIC 159171904,,,
Kepler-148 c,TIC 159171904,4.180048081,2455006.719249,
Kepler-148 c,TIC 159171904,4.180049552,2455006.718926,2.4696
Kepler-148 c,TIC 159171904,4.18004979,2454964.918712,2.7594
Kepler-148 c,TIC 159171904,4.1800659,2455006.7174,2.4389
Kepler-148 c,TIC 159171904,4.180048081,2455006.719249,2.4479
Kepler-148 c,TIC 159171904,4.1801057008,2455006.70727,
Kepler-148 c,TIC 159171904,4.180049552,2455006.718926,2.4696
Kepler-222 d,TIC 158625100,28.08185982,2455027.91696,
